KEY	EN
step.MaxTargets.orb	Pierce targets +{0}
step.MaxTargets	Simultaneous targets +{0}
ui.badge.active	ACTIVE
ui.badge.passive	PASSIVE
skill.gain.dmg	Damage {0}%  ({1}→{2})
skill.gain.cd	Cooldown {0}%  ({1}→{2}s)
skill.gain.projSpeed	Projectile speed +{0}%
skill.gain.pierce	Pierce +{0}
skill.gain.projCount	Shots +{0}
skill.gain.targets.orb	Pierce targets +{0}
skill.gain.targets	Simultaneous targets +{0}
skill.gain.tickRate	Hit interval -{0}%
skill.gain.procChance	Proc chance +{0}%p
skill.gain.duration	Duration +{0}s
skill.gain.scale	Size +{0}%
skill.gain.rewind	Rewind time {0}s
skill.gain.growth	Growth stacks {0} (stronger the more you use it)
ui.levelup.evoHeader	Evolve!
ui.levelup.evoFallbackHeader	Nothing to evolve — level up instead
ui.levelup.treasureHeader	Treasure found!!
ui.levelup.reroll	Reroll
ui.levelup.rerollLeft	{0} left
ui.levelup.tagNew	NEW!
ui.levelup.tagEvolve	EVOLVE!
ui.levelup.level	Level: {0}
ui.levelup.essenceTitle	Gain Essence
ui.levelup.essenceDesc	Essence +{0}
ui.levelup.evoStage	Evolution {0}
ui.levelup.levelRange	Level: {0} → {1}
ui.levelup.instantLevels	+{0} levels instantly
ui.levelup.routeChoice	Choose a path: {0}
ui.treasure.boxTitle	Treasure Chest
ui.treasure.boxDesc	1–5 random skill level-ups
ui.treasure.evoTitle	Evolve
ui.treasure.evoCount	EVOLVE! {0} available
ui.treasure.evoDesc	Pick one skill to evolve
ui.evotree.header	{0} Evolution — Lv.{1}
ui.evotree.allDone	Fully evolved
ui.evotree.pickRoute	Choose one path — you cannot change it later
ui.evotree.continueRoute	Continuing the path you chose at tier 1
ui.evotree.abandoned	[PATH NOT TAKEN]
ui.evotree.lockedPrereq	[LOCKED — needs '{0}']
ui.evotree.locked	[LOCKED]
ui.essence	{0} Essence
ui.tree.cost	{0} Essence
ui.tree.clickUnlock	  ▸ click to unlock
ui.tree.maxed	(MAX)
ui.tree.unlocked	Unlocked
ui.tree.next	  · next {0} Essence
ui.tree.click	  ▸ click
ui.difficulty.0	Easy
ui.difficulty.1	Normal
ui.difficulty.2	Hard
ui.difficulty.plus	{0} +{1}
ui.ascension.base	Base difficulty
ui.ascension.stats	Enemy health +{0}   Move speed +{1}   Damage +{2}
ui.ascension.essence	Essence gain +{0}
ui.ascension.nextUnlock	Clear this to unlock the next difficulty
ui.pause.title	Paused
ui.pause.giveUp	Return to Title
ui.pause.hint	ESC — Resume
ui.pause.activeHeader	ACTIVE SKILLS
ui.pause.passiveHeader	PASSIVES
ui.result.other	Other
ui.result.earned	Essence earned: {0}
ui.result.total	Total damage: {0}
unlock.essence	Essence {0} / {1}
unlock.clearMap	Clear {0} on {1}
ui.levelup.header	Level Up!
ui.title.play	Play
ui.title.upgrade	Upgrades
ui.title.collection	Collection
ui.title.quit	Quit
ui.tree.title	Skill Tree
ui.charselect.title	Character
ui.mapselect.title	Map
ui.mapselect.locked	Locked
ui.mapselect.changeChar	Change Character
ui.common.close	Close
ui.common.back	Back
ui.common.select	Select
ui.result.toTitle	To Title
ui.result.retry	Retry
ui.result.upgrade	Upgrades
ui.treasure.header	Treasure!
ui.treasure.continue	Click to continue
ui.collection.title	Collection
ui.collection.progress	Found {0} / {1}
ui.collection.active	Active
ui.collection.passive	Passive
ui.collection.unknown	???
ui.collection.hint	You have not met this skill yet
ui.collection.route	Route {0}
ui.collection.prereq	Synergy {0}
ui.collection.notFound	This evolution is still unseen
